fips,cases,deaths,popdense,population,ageab65,pctpov,pctmale,pctwhite,pctblack,pctindian,pctasian,pcthispanic,pct_highschool_or_less,pct_Adults_with_Diabetes,pct_Adults_with_Obesity,infection_rate_10k,fatality_rate_10k,Infection_rate_clusters,Fatality_rate_clusters
20073,452,2,2.0448182,6055,0.249215524,12.2,49.97522709,91.412055,0.62758052,1.3872832,0.37985137,4.0462427,43.87315798,13,36,746.4905037,44.24778761,Medium,Low
20075,186,0,1.0100899,2607,0.140007672,11.2,51.82201764,60.721135,0.53701573,0.80552362,0.19179133,36.018413,59.0390377,18,39,713.4637514,0,Medium,Low
20077,427,15,2.6531227,5506,0.230112604,16.1,50.07264802,89.629495,0.47221212,1.1805303,0.36324011,6.3748635,49.45708466,13,36,775.5176171,351.2880562,Medium,High
20079,2623,27,24.471352,34210,0.195323005,11.2,49.38029816,82.496345,1.7071031,0.57293191,0.97632268,12.084186,33.29080009,10,31,766.7348728,102.93557,Medium,Medium
20081,361,1,2.6722021,3997,0.147860896,12.7,50.23767826,65.849388,0.35026269,0.4753565,0.80060046,31.448588,46.85737419,5,34,903.177383,27.70083102,High,Low
20083,161,4,0.81620955,1818,0.239823982,11.6,49.779978,87.18372,1.2651265,0.60506049,2.3652365,6.9856986,29.77099228,14,35,885.5885589,248.447205,High,High
20085,1018,10,7.8136015,13280,0.190512048,10,50.03012048,83.825302,0.76054218,7.0180722,0.57981927,4.6234939,44.42329311,11,38,766.5662651,98.23182711,Medium,Low
20087,1173,10,13.756377,18975,0.186455863,8,50.914361,93.401843,0.70092226,0.87483535,0.24769434,2.8827405,46.20262814,12,35,618.1818182,85.2514919,Medium,Low
20089,193,3,1.2054411,2841,0.301302358,15.9,51.10876452,95.001757,0.35198873,0.56318198,0.45758537,2.5343189,46.36363649,14,29,679.3382612,155.4404145,Medium,Medium
20091,38865,452,487.14481,597555,0.145129737,5.6,49.07046213,79.728061,4.7436636,0.27478642,5.1456351,7.7703305,18.49705744,8,27,650.4003816,116.3000129,Medium,Medium
20093,503,9,1.748794,3943,0.155211768,19.9,49.8858737,63.099164,0.76084202,1.1666244,0.40578241,32.335785,56.46140671,10,35,1275.678417,178.9264414,High,Medium
20097,178,0,1.3442844,2516,0.219395866,8.3,49.04610493,88.593006,0.99364072,0.67567569,1.4705882,6.4387918,38.89919567,11,30,707.4721781,0,Medium,Low
20099,1922,10,11.943331,19964,0.190943699,17.9,49.74454017,85.393709,3.977159,1.8783811,0.47084754,4.658385,41.98843098,14,37,962.7329193,52.02913632,High,Low
20101,127,5,0.83957624,1560,0.23525641,12.8,50.51282051,87.628204,1.2179487,0.70512821,0.32051282,7.8205131,37.58200502,16,31,814.1025641,393.7007874,Medium,High
20103,5044,38,67.781265,81352,0.14479054,8.9,53.18738322,78.960568,8.803717,0.68344972,1.4799882,6.9500439,36.07293415,11,37,620.0216344,75.3370341,Medium,Low
20107,518,4,6.3366714,9750,0.223589744,16.5,50.63589744,93.292308,0.84102564,0.72820513,0.34871795,2.8512821,49.1228075,12,40,531.2820513,77.22007722,Medium,Low
20109,273,0,1.023375,2844,0.208157525,7.6,49.71870605,90.400845,0.66807312,0.42194091,0.84388182,6.1533052,37.12793636,12,32,959.9156118,0,High,Low
20111,3366,59,15.219234,33406,0.151918817,17.3,48.56313237,70.693886,2.1223731,0.63162306,2.5713943,21.487159,41.06918621,10,39,1007.603425,175.2822341,High,Medium
20113,2348,26,12.265838,28537,0.198338998,9.9,49.03108245,91.614395,1.1669061,0.41700248,0.86904718,4.2541262,36.62341785,11,31,822.7914637,110.7325383,High,Medium
20115,678,1,4.8860812,11950,0.232887029,9.3,49.73221757,92.359835,1.0041841,0.62761507,0.40167365,3.9330542,38.77376938,7,40,567.3640167,14.74926254,Medium,Low
20117,855,21,4.1699514,9722,0.217239251,9.4,49.79428101,94.486731,0.47315368,0.48343963,0.39086607,2.6229171,50.02212715,12,35,879.4486731,245.6140351,High,High
